Epoch: 74, Train loss: 0.3222, Test loss: 0.8520, Accuracy: 0.7525
Epoch: 75, Train loss: 0.3208, Test loss: 0.8128, Accuracy: 0.7599
Epoch: 76, Train loss: 0.3150, Test loss: 0.8230, Accuracy: 0.7591
Epoch: 77, Train loss: 0.3139, Test loss: 0.7916, Accuracy: 0.7646
Epoch: 78, Train loss: 0.3133, Test loss: 0.8606, Accuracy: 0.7463
Epoch: 79, Train loss: 0.3095, Test loss: 0.7801, Accuracy: 0.7679
Epoch: 80, Train loss: 0.3035, Test loss: 0.8312, Accuracy: 0.7598
	Save checkpoint at epoch 80
Epoch: 81, Train loss: 0.3022, Test loss: 0.8344, Accuracy: 0.7594
Epoch: 82, Train loss: 0.3093, Test loss: 0.8299, Accuracy: 0.7609
Epoch: 83, Train loss: 0.3008, Test loss: 0.8132, Accuracy: 0.7615
Epoch: 84, Train loss: 0.2984, Test loss: 0.8752, Accuracy: 0.7506
Epoch: 85, Train loss: 0.2990, Test loss: 0.8385, Accuracy: 0.7558
Epoch: 86, Train loss: 0.2957, Test loss: 0.8186, Accuracy: 0.7631
Epoch: 87, Train loss: 0.2946, Test loss: 0.8719, Accuracy: 0.7550
Epoch: 88, Train loss: 0.2923, Test loss: 0.8509, Accuracy: 0.7546
Epoch: 89, Train loss: 0.2935, Test loss: 0.8461, Accuracy: 0.7566
Epoch: 90, Train loss: 0.2898, Test loss: 0.8332, Accuracy: 0.7533
	Save checkpoint at epoch 90
Epoch: 91, Train loss: 0.2880, Test loss: 0.9381, Accuracy: 0.7397
Epoch: 92, Train loss: 0.2957, Test loss: 0.8653, Accuracy: 0.7583
Epoch: 93, Train loss: 0.2880, Test loss: 0.8224, Accuracy: 0.7607
Epoch: 94, Train loss: 0.2822, Test loss: 0.8405, Accuracy: 0.7585
Epoch: 95, Train loss: 0.2870, Test loss: 0.8202, Accuracy: 0.7677
Epoch: 96, Train loss: 0.2828, Test loss: 0.8209, Accuracy: 0.7597
Epoch: 97, Train loss: 0.2762, Test loss: 0.8503, Accuracy: 0.7573
Epoch: 98, Train loss: 0.2802, Test loss: 0.8983, Accuracy: 0.7502
Epoch: 99, Train loss: 0.2760, Test loss: 0.8446, Accuracy: 0.7637
Epoch: 100, Train loss: 0.2776, Test loss: 0.8337, Accuracy: 0.7596
